"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Canada,11793.17,13191.969,13402.303,14141.328,15369.897,16454.994,16975.185,17877.62,19069.017,19934.636,20409.568,20396.836,20796.985,21606.032,22813.421,23668.852,24254.931,25472.784,26534.171,28066.493,29901.087,30821.909,31893.097,32802.213,34401.982,36274.68,37994.693,39436.833,40167.67,38790.119,40025.373,41716.28,42351.969,44362.647,45816.105,44704.519,46553.932,48688.51,50457.913,51524.041,48996.83,53635.208,58617.031,59712.336,60495.227,62173.726,63725.019,65233.071,66801.773,68441.329
Central African Republic,441.223,529.488,528.795,503.99,560.486,583.831,617.175,619.432,639.582,676.199,696.13,697.929,662.853,654.484,734.752,756.174,706.514,731.937,748.836,765.732,740.762,763.412,778.21,763.087,769.99,803.523,852.357,894.151,917.717,931.285,967.285,1012.657,1102.13,738.466,720.351,787.043,851.014,912.808,954.841,983.062,987.903,1024.268,1080.264,1105.305,1122.641,1137.929,1156.803,1178.046,1202.093,1229.754
Chad,549.939,525.469,574.814,674.538,717.034,776.529,815.13,839.311,904.911,928.149,962.167,1063.612,1078.888,1047.413,1092.417,1070.508,1076.197,1117.72,1167.385,1134.432,1108.345,1218.411,1291.631,1453.86,1921.071,2068.993,2093.857,2159.595,2215.358,2219.077,2399.668,2398.485,2262.006,2049.502,2190.404,2411.077,2209.394,2118.419,2225.912,2341.328,2255.782,2270.073,2432.845,2557.246,2619.766,2687.322,2737.887,2786.182,2838.377,2891.699
Chile,3463.848,3961.314,3576.146,3554.907,3839.248,3976.672,4208.876,4518.038,4933.489,5576.469,5899.562,6455.957,7172.084,7702.627,8137.458,8918.442,9401.277,10132.899,10538.191,10526.297,11166.64,11644.085,12070.273,12755.58,13828.762,14944.408,16172.999,17289.832,18093.731,17806.286,18872.9,20235.571,21458.814,22295.742,22650.715,22553.106,22658.674,23671.478,24733.773,24837.193,23192.991,26703.619,28951.243,29872.851,31005.033,32158.31,33344.82,34582.706,35859.919,37210.745
"China, People's Republic of",306.743,348.068,396.569,450.603,530.878,612.833,670.325,754.72,855.338,912.423,969.363,1078.248,1245.777,1435.813,1639.099,1837.536,2035.509,2239.45,2420.311,2621.541,2886.097,3174.44,3494.984,3897.659,4381.483,5003.986,5783.318,6751.288,7503.209,8222.456,9161.467,10180.906,11136.869,11905.091,12496.321,12926.23,13432.044,14151.786,15394.951,16529.965,17099.014,19387.465,21385.604,23332.456,25015.32,26514.913,28058.674,29644.68,31268.212,32963.637
Colombia,2847.797,3118.745,3271.086,3379.7,3543.815,3795.157,4013.776,4245.159,4479.666,4716.427,5000.616,5184.658,5425.163,5760.927,6076.989,6417.996,6563.017,6815.756,6825.54,6547.601,6789.831,6969.613,7164.751,7498.132,8011.023,8524.847,9267.201,10043.273,10456.341,10524.922,11011.04,11893.012,12305.508,13024.859,13627.049,13611.438,14351.727,14763.881,15219.989,15601.018,14386.64,16450.339,18687.072,19282.538,19769.902,20412.168,21215.147,22050.512,22919.228,23826.936
Comoros,912.28,1027.5,1108.289,1160.048,1239.662,1275,1287.65,1306.366,1376.915,1374.027,1488.296,1491.755,1603.423,1647.543,1581.613,1670.114,1656.486,1722.529,1705.802,1739.995,1725.452,1821.557,1894.89,1929.291,1993.792,2121.582,2093.989,2113.72,2183.075,2209.702,2261.17,2341.013,2510.017,2628.368,2700.604,2684.323,2826.352,2980.06,3075.646,3098.434,3051.163,3169.651,3356.927,3455.666,3531.874,3602.05,3688.254,3781.896,3871.201,3944.082
"Congo, Dem. Rep. of the",765.684,819.015,838.018,854.901,898.999,901.968,932.778,950.074,956.581,950.209,891.598,816.95,719.583,613.09,566.727,575.667,558.987,499.73,476.239,455.503,415.459,404.114,409.872,431.868,462.4,507.085,532.002,574.114,608.411,595.994,629.894,669.879,673.689,791.234,894.145,946.242,989.002,1087.499,1129.066,1161.426,1158.439,1244.178,1402.989,1494.817,1552.343,1616.543,1677.697,1751.582,1804.021,1853.019
"Congo, Republic of ",1792.891,1953.491,2060.586,2126.851,2188.405,2241.66,2270.284,2309.396,2827.341,3352.95,3407.87,3543.131,3673.119,3702.128,3623.365,3743.502,3841.234,3789.61,4086.858,3887.065,4275.92,4007.8,4015.102,4000.855,3963.356,4306.368,4617.093,4268.461,4474.337,4827.943,5153.248,5204.001,6062.823,5810.922,5681.772,4448.917,3944.497,4345.519,4239.901,4258.07,3950.673,4079.866,4343.351,4555.655,4739.587,4843.553,4980.339,5127.645,5282.99,5447.479
Costa Rica,3560.208,3696.36,3532.935,3669.139,3990.384,4024.707,4206.441,4391.714,4577.943,4898.534,5137.837,5308.092,5799.326,6195.577,6422.377,6638.113,6668.653,6975.323,7375.911,7611.385,8143.258,8305.16,8572.707,8976.59,9474.149,10006.94,10907.258,11950.659,12573.499,12357.467,12933.364,13605.863,14367.698,15034.637,16076.627,17079.776,18503.17,19711.653,20460.373,21083.996,20238.049,22617.934,25073.915,27063.75,28558.326,29802.293,31077.031,32406.297,33793.096,35246.295
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8270.091,7966.763,8807.236,9742.208,10407.084,11097.457,11611.453,11529.83,12716.142,13661.326,14674.043,15797.823,16892.897,18152.184,19657.54,21219.609,22063.361,20621.109,20660.054,21137.879,21507.616,22181.598,22411.407,23395.046,25317.949,27242.443,28912.15,30568.408,28430.235,35307.511,40430.493,43232.785,45702.291,47860.535,50180.182,52563.316,55040.593,57646.157
Cyprus,5914.594,6588.805,7352.402,7942.116,8835.365,9436.178,9854.463,10702.289,11876.717,13147.916,14348.655,14554.333,15861.433,15954.001,16899.407,18777.893,19037.793,19579.844,20732.99,21830.06,23394.906,24615.437,25635.031,26519.442,28238.019,30113.572,32027.341,33937.342,35002.554,33616.492,33858.098,33848.982,31995.387,30313.309,29977.592,31955.375,36011.651,38643.589,41305.551,43734.171,42202.951,48078.775,53547.756,55877.226,58732.783,60943.871,63422.98,66103.634,68915.556,71822.109
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14160.405,15089.416,15288.135,15419.823,15869.115,16896.816,17883.172,18501.96,19559.733,21047.076,23132.134,25397.547,27456.364,28489.293,27114.075,28014.285,29027.244,29269.604,30812.679,32542.452,33933.429,36051.45,38916.183,40936.167,42707.44,40860.247,45030.778,47907.449,49347.241,50474.871,52552.571,54833.564,57273.902,59862.523,62597.905
Côte d'Ivoire,2627.817,2910.657,2981.227,2874.365,2839.171,2921.33,3005.166,2949.9,3060.199,3146.081,3101.538,3084.05,3027.246,2815.309,2796.561,2929.172,3136.545,3256.807,3336.539,3342.9,3254.845,3239.541,3145.092,3075.637,3108.362,3170.363,3225.446,3277.587,3330.447,3363.761,3376.782,3187.895,3430.053,3681.697,4058.212,4354.91,4452.508,4576.89,4771.971,5034.257,4993.695,5436.06,6045.255,6469.107,6859.627,7220.924,7603.11,7990.75,8390.406,8811.815
Denmark,11870.403,12903.099,14217.803,15165.747,16382.477,17580.82,18794.667,19277.273,19938.168,20850.902,21925.687,22934.544,23844.267,24324.105,26086.773,27339.921,28456.6,29754.413,30640.098,31877.18,33716.946,34635.081,35211.641,35944.828,37796.851,39793.385,42499.139,43888.025,44271.622,42085.533,43209.994,44482.796,44892.724,46829.474,48039.691,49264.513,52159.798,55673.456,57756.731,59347.209,58506.019,65183.281,71270.648,74457.003,77641.097,79980.753,82442.294,84904.716,87414.197,90016.963
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2836.893,2726.187,2766.568,2626.197,2629.386,2558.095,2456.029,2403.739,2363.404,2398.069,2409.292,2454.883,2525.675,2613.202,2715.278,2844.602,3030.074,3224.053,3430.498,3458.894,3592.434,3871.839,3961.137,4107.202,4300.574,4563.377,4695.101,4904.977,5175.623,5470.82,5533.929,5963.717,6540.338,7156.677,7706.968,8211.438,8721.937,9267.583,9851.53,10474.367
Dominica,no data,2043.736,2267.755,2425.524,2627.985,2759.536,3025.098,3307.499,3705.121,3856.928,4233.312,4451.441,4644.926,4857.421,4962.425,5219.548,5479.688,5695.52,5976.398,6081.965,6364.718,6503.401,6422.183,6969.989,7380.982,7667.823,8278.395,9049.329,9887.452,9839.028,10039.828,10335.991,10157.996,10344.154,11015.373,11139.636,11961.78,11665.874,12349.519,12748.881,10605.109,11796.719,13274.101,14336.385,15279.574,16130.21,16888.835,17622.605,18387.397,19093.034
Dominican Republic,2429.352,2710.94,2860.665,3038.219,3112.436,3068.196,3162.485,3483.049,3597.834,3818.893,3672.705,3767.121,4208.186,4541.437,4677.448,4963.243,5270.458,5746.154,6102.781,6458.552,6812.401,7040.539,7372.182,7316.845,7608.758,8481.419,9436.38,10294.362,10706.265,10757.652,11673.916,12157.893,12207.744,12818.364,13859.072,15186.042,16625.846,17301.383,18754.619,19854.59,18602.925,21654.973,24096.011,25355.128,27120.369,28715.515,30466.659,32325.775,34298.732,36399.732
Ecuador,3187.222,3523.701,3681.837,3617.731,3801.841,3988.172,4087.793,3841.237,4282.089,4355.12,4546.5,4828.948,5004.413,5114.178,5335.809,5465.658,5565.857,5814.133,5981.072,5694.444,5800.477,6043.924,6303.084,6500.694,7009.339,7525.333,7953.138,8177.397,8723.835,8713.502,9007.443,9806.954,10258.108,11274.312,11771.523,10784.047,10759.507,11642.842,11859.722,11907.663,10797.76,12229.763,13708.017,14330.867,14484.817,14659.259,15021.647,15424.205,15879.401,16359.114
Egypt,2183.171,2374.787,2633.53,2900.432,3158.468,3401.926,3543.763,3705.343,3909.112,4093.552,4307.571,4454.627,4477.121,4571.616,4769.718,4973.231,5202.963,5484.706,5847.938,6162.361,6495.928,6739.375,6924.278,7136.452,7485.125,7905.353,8525.969,9199.259,9833.706,10127.824,10532.03,10694.412,12275.124,12344.352,11947.802,12607.48,12278.746,11756.039,12418.142,13191.213,13498.99,14363.087,16159.77,17037.863,17614.053,18353.686,19200.392,20150.32,21232.927,22408.298
El Salvador,2084.88,2127.363,2099.898,2202.504,2298.282,2366.659,2394.478,2485.375,2584.999,2669.974,2854.128,2954.447,3189.675,3406.85,3603.194,3815.842,3884.386,4043.558,4167.129,4289.265,4410.075,4526.425,4651.253,4804.941,4970.68,5263.606,5666.029,5917.482,6133.558,6021.749,6199.497,6543,6622.566,6966.62,7332.935,7712.331,8174.484,8617.858,9017.024,9385.556,8740.796,10194.904,11178.884,11949.659,12560.845,13030.607,13533.964,14057.274,14601.11,15169.021
