"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Sweden,10532.246,12044.805,12960.776,13740.403,14833.794,15629.796,16372.413,17265.131,18218.038,19280.3,20002.8,20324.753,20480.009,20457.065,21539.493,22801.837,23567.381,24701.166,26036.145,27503.948,29396.724,30404.183,31443.275,32677.17,34872.302,36845.368,39466.894,41612.162,41887.775,39953.039,42504.793,44450.32,45258.806,46098.791,46936.61,48857.878,50061.576,52413.085,54071.819,55542.624,54780.504,60389.062,65925.776,67999.956,69176.512,71364.288,73712.387,76195.143,78745.18,81426.84
Switzerland,18094.09,20030.599,20858.191,21680.162,23086.836,24594.041,25435.661,26313.792,27947.568,30087.609,32110.511,32484.229,32759.429,33172.325,34021.135,34681.015,35258.617,36572.274,37988.682,39001.417,41292.689,42703.596,42992.588,43460.503,45449.362,47878.298,51106.201,54181.802,56086.66,54351.645,56163.113,57790.504,59751.312,62058.508,63811.096,65613.767,67690.604,68924.081,71966.628,73492.548,72255.288,79058.938,86195.048,89243.299,91931.752,94148.235,96922.343,99193.694,102122.2,104538.416
Syria,2072.834,2378.938,2507.588,2562.195,2402.177,2570.925,2417.881,2426.469,2739.199,2587.213,2863.504,3182.508,3581.75,3830.209,4019.565,4216.895,4314.283,4238.804,4418.468,4236.195,4318.787,4457.101,4662.01,4523.967,4816.097,5107.609,5396.814,5715.679,5939.128,6175.748,6374.969,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,1627.707,1566.267,1677.537,1636.889,1554.424,1707.139,1596.828,1544.828,1586.211,1651.434,1629.711,1657.506,1658.091,1696.091,1737.5,1775.941,1801.755,1817.288,1849.607,1888.331,1905.614,1962.144,2002.376,2131.74,2221.913,2394.26,2622.007,2702.652,2915.8,2959.775,2969.674,3022.462,2783.257,3029.044,3308.774,3212.162,3343.285,3440.002,3584.995,3648.765,3706.97,3861.992,4063.713,4108.705,4238.482,4397.324,4355.794,4491.672,4632.376,4783.535
Taiwan Province of China,3446.306,3967.382,4338.436,4843.246,5441.613,5809.034,6542.052,7476.259,8264.838,9244.386,10000.34,11092.91,12172.317,13187.662,14355.115,15477.263,16603.507,17732.794,18527.818,19906.248,21463.553,21514.752,22928.833,24278.965,26565.574,28770.561,31223.695,34144.437,34960.509,34484.891,38409.721,40532.641,41741.269,43435.454,45494.282,46910.952,47272.281,48500.845,50956.191,53366.905,56002.221,62944.224,69242.819,72811.67,76858.385,80349.195,83923.023,87571.342,91303.483,94942.834
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1462.942,1322.538,1055.398,932.734,897.614,914.707,954.971,975.351,1062.625,1176.389,1279.014,1409.066,1567.918,1689.851,1824.927,1977.677,2128.204,2176.285,2294.089,2458.602,2708.847,3004.451,3303.956,2958.106,3089.443,3237.941,3491.103,3736.565,3875.677,4351.095,4938.327,5442.597,5831.886,6098.59,6388.29,6695.158,7019.72,7363.802
Tanzania,580.105,618.726,640.707,660.958,686.916,718.895,758.542,799.016,838.066,876.587,942.867,962.392,956.854,958.429,962.97,988.846,1025.208,1053.75,1080.747,1122.441,1175.126,1240.812,1314.098,1392.784,1499.208,1613.951,1692.905,1833.433,1918.52,1976.639,2066.814,2210.068,2099.43,2194.768,2243.354,2348.069,2478.806,2527.759,2686.151,2834.936,2915.734,3104.438,3377.875,3570.443,3746.128,3923.943,4126.7,4348.187,4581.657,4828.865
Thailand,1576.191,1791.295,1965.979,2117.519,2278.494,2415.614,2553.827,2814.921,3244.557,3723.198,4251.552,4708.548,5207.709,5741.344,6275.074,6857.907,7296.827,7133.278,6582.879,6901.325,7295.495,7645.46,8173.534,8867.572,9612.387,10262.513,11037.665,11886.134,12259.547,12188.44,13198.688,13519.129,14870.976,15407.665,15480.211,15822.371,16616.195,17422.952,18516.185,19170.669,18203.08,19290.925,21129.112,22275.888,23401.361,24482.904,25678.048,26934.033,28256.763,29652.832
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1267.478,1485.866,1382.285,1353.414,1369.626,1422.415,1369.559,1512.316,1676.314,1817.292,1969.96,2084.026,2361.182,2490.596,2723.535,2912.473,3141.063,3201.589,3203.935,3837.305,5217.997,5657.482,4734.481,4051.18,3767.078,3900.073,4039.429,4182.081,4330.727,4490.08
Togo,982.894,1005.402,991.619,945.03,1002.849,1039.486,1062.241,1029.915,1139.314,1196.434,1276.327,1274.145,1225.758,1057.201,1225.912,1432.625,1349.921,1379.901,1324.679,1338.03,1317.16,1321.604,1357.633,1439.46,1425.749,1365.862,1405.279,1419.5,1462.915,1509.485,1574.645,1656.162,1677.296,1739.132,1818.042,1884.967,1928.141,1970.215,2061.1,2146.47,2165.384,2343.635,2591.693,2764.319,2910.597,3045.229,3195.924,3354.198,3520.38,3695.535
Tonga,723.128,897.509,1069.201,1163.072,1718.295,1881.75,2099.615,2182.518,2169.55,2268.09,2451.316,2667.717,2611.791,2658.714,2776.784,3049.595,3097.858,3126.02,3220.761,3327.596,3516.613,3633.299,3839.784,3901.681,3914.909,3996.044,4005.499,4001.272,4261.574,4054.949,4127.079,4488.443,4632.988,4750.613,4956.15,5086.788,5500.838,5790.471,5942.63,6090.427,6206.473,6323.467,6652.471,7089.002,7461.827,7793.906,8075.992,8350.696,8632.163,8924.904
Trinidad and Tobago,6975.027,7859.504,8522.739,7818.221,7522.113,7343.592,7165.662,6942.834,6850.781,7009.651,7331.775,7764.892,8689.851,8787.113,9250.852,9768.096,10628.238,11603.705,12668.763,13854.595,15107.613,15962.724,17294.278,19983.768,21913.007,23814.65,27900.176,29740.737,31166.889,29700.329,30932.619,31320.799,31896.963,31648.781,31937.384,29666.152,27965.016,28290.031,28644.112,29122.691,26741.945,27533.458,29755.132,31330.471,32684.739,33868.438,34644.032,35915.727,37482.047,39084.325
Tunisia,2242.648,2519.411,2598.912,2761.261,2990.153,3155.438,3053.442,3268.879,3329.905,3486.919,3757.238,3956.225,4276.194,4393.211,4560.659,4698.107,5033.601,5339.645,5598.888,5954.366,6288.578,6615.28,6752.679,7155.141,7744.994,8196.909,8811.12,9561.433,10051.985,10308.384,10680.139,10556.817,10692.256,10709.667,10944.959,10735.106,10897.887,11138.348,11565.153,11820.313,10837.07,11742.087,12778.437,13185.586,13644.731,14027.795,14425.53,14807.455,15185.46,15569.996
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4231.339,3859.49,3177.498,2944.044,2744.861,2437.662,2594.733,3028.308,3630.11,4419.289,5140.954,6075.453,7081.025,8166.808,9237.358,10413.842,12032.908,12691.142,14657.842,16562.299,16628.226,15954.615,16815.943,16588.168,15855.181,16585.413,16985.353,16385.054,16010.957,16447.916,18285.45,19069.183,19728.792,20288.458,20902.506,21543.739,22212.741,22915.402
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2742.543,2697.91,2683.497,2630.002,2711.374,2939.187,3152.213,2955.256,2880.157,3120.356,3008.275,3184.452,3281.14,3608.11,3800.436,4083.308,4218.34,4863.027,4698.29,4982.922,5349.023,5735.235,6056.33,6291.837,6527.471,6761.111,7001.914,7245.501
"Türkiye, Republic of",3516.381,3926.679,4215.133,4486.429,4858.092,5116.687,5471.264,6051.661,6280.861,6427.75,7159.899,7345.458,7832.371,8524.179,8101.933,8730.166,9369.467,10096.894,10377.498,10036.309,10820.709,10289.274,10989.119,11713.351,13046.786,14484.806,15769.83,16807.641,17046.218,16089.244,17378.818,19459.771,20504.429,22221.39,23945.523,25691.067,26513.617,28242.491,29327.005,29647.229,30429.448,35018.742,39280.176,42063.743,43920.715,45621.586,47504.308,49561.295,51730.602,54039.792
Uganda,525.485,579.719,646.319,683.231,665.104,643.599,639.807,657.52,710.439,757.287,807.276,820.279,860.157,908.498,967.447,1045.045,1097.85,1131.948,1177.484,1248.664,1284.289,1383.505,1455.635,1520.957,1596.923,1752.875,1870.259,2006.083,2181.175,2293.715,2415.892,2569.511,2372.961,2395.126,2440.641,2443.589,2337.09,2383.105,2497.256,2664.148,2577.93,2761.1,3035.248,3184.664,3344.77,3520.821,3697.569,3858.935,4043.743,4280.697
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6948.565,6383.312,5623.491,4464.122,4035.201,3732.961,3714.847,3717.114,3795.095,4148.169,4655.265,5021.664,5652.309,6536.263,7002.435,7814.367,8735.617,9145.105,7842.929,8297.137,8959.21,9388.766,10749.363,10804.267,10224.946,11215.911,11942.821,12712.782,13419.915,13186.102,14412.359,12805.527,14704.303,15463.851,16289.651,17045.046,17774.669,18785.443,19970.064
United Arab Emirates,88437.377,96016.452,88959.911,84695.023,84660.551,80816.791,63784.938,66079.187,55822.573,64611.704,83542.06,84424.103,85364.834,84588.64,86710.919,87310.315,92481.941,96712.968,89815.996,88370.274,102795.333,100792.038,99151.237,103749.001,110212.863,109161.827,101258.391,86492.459,70074.954,65780.84,69554.632,74235.253,76069.871,76670.867,79191.687,69533.582,67895.838,69377,71418.55,72364.516,71347.173,75623.915,86600.591,92073.863,96845.849,101884.724,107437.487,113430.814,119904.977,126901.672
United Kingdom,9055.196,9838.935,10664.891,11539.076,12200.87,13067.626,13713.507,14783.712,16096.294,17081.035,17769.461,18049.067,18458.786,19280.021,20311.138,21172.126,22063.59,23488.83,24496.197,25513.36,27124.735,28341.453,29172.799,30545.362,31960.062,33605.518,35227.118,36831.678,37150.509,35404.324,36345.548,37208.967,38340.22,39968.1,41281.548,42512.313,44053.24,46228.038,47665.019,48994.492,44310.279,50213.317,55660.843,57492.498,58880.494,60586.492,62554.317,64622.912,66677.251,68700.662
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65504.783,64367.435,70995.794,77191.871,81632.253,85372.686,87978.472,90902.779,94011.701,97230.612,100579.865
Uruguay,5050.142,5594.473,5347.661,5198.35,5273.733,5422.271,5912.903,6381.688,6600.48,6896.716,7136.663,7594.965,8334.177,8706.198,9450.145,9449.534,10096.573,10711.41,11231.884,11091.162,11078.528,10884.922,10214.046,10525.603,11339.256,12526.281,13419.19,14680.906,16017.195,16725.147,18149.359,19389.116,19572.263,20562.682,21583.608,21706.662,22186.781,22909.415,23387.199,23914.891,22363.887,24605.709,27485.747,28499.065,30170.345,31495.501,32825.646,34145.777,35485.022,36848.12
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2394.57,2340.933,2222.865,2208.668,2243.761,2327.034,2417.507,2520.524,2685.981,2824.281,2946.947,3092.908,3374.015,3678.49,4031.181,4474.036,4895.659,5235.653,5580.361,5888.157,6106.886,6355.118,6551.283,6739.703,6855.585,6897.807,7348.022,7775.689,7881.609,8685.779,9626.363,10353.579,10935.737,11499.379,12117.221,12770.282,13458.038,14185.954
Vanuatu,944.077,1042.358,1091.98,1141.062,1255.608,1259.82,1246.346,1222.673,1210.014,1267.999,1449.465,1514.941,1558.546,1576.52,1678.871,1687.423,1713.77,1782.519,1777.534,1763.515,1867.62,1803.56,1697.57,1764.005,1841.32,1954.846,2136.489,2206.72,2321.81,2356.171,2357.332,2425.718,2439.723,2436.705,2499.427,2474.944,2578.543,2727.789,2806.656,2880.024,2680.47,2668.366,2814.449,2882.794,2939.175,2993.548,3040.704,3084.775,3114.656,3145.457
Venezuela,7947.685,8332.368,8819.177,8034.492,8520.131,8625.214,9222.009,9661.757,10393.414,9075.794,9700.557,10745.459,11388.368,11427.619,11146.894,11575.821,11516.704,12210.037,12140.77,11350.44,11640.053,12103.331,11021.09,10201.204,12195.554,13659.605,15232.895,16756.514,17710.636,16993.128,16695.002,17493.729,18551.879,18850.906,18176.005,16970.969,14169.523,12271.362,10622.181,8117.036,5729.831,6132.464,7265.562,7942.862,8485.876,8822.116,no data,no data,no data,no data
Vietnam,538.193,610.531,687.543,750.898,827.492,884.416,913.989,939.236,1002.637,1101.136,1151.321,1236.449,1350.395,1468.447,1605.098,1765.895,1934.972,2095.84,2207.432,2310.611,2489.572,2684.821,2881.448,3124.64,3426.9,3766.203,4114.734,4485.009,4784.092,5023.982,5357.814,5826.158,6400.242,6762.711,7281.166,7635.282,8316.211,9085.612,9882.61,10584.719,10907.778,11589.347,13284.217,14342.379,15469.861,16633.819,17913.271,19297.415,20793.617,22410.31
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2144.103,2187.853,2128.45,2346.791,2629.733,2799.404,2539.77,2291.264,1981.516,2241.774,2730.235,3043.816,3017.082,3123.52,3329.256,3543.673,3698.409,4035.484,4720.42,4825.991,5192.039,5612.253,5944.744,6025.007,6083.578,6115.437,5360.804,5855.064,6367.905,6056.724,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1844.576,1950.837,2078.345,2130.533,2236.809,2326.604,2398.417,2492.816,2595.445,2655.074,2802.584,2893.504,2973.178,3063.333,3184.979,3377.201,3488.562,3591.461,3681.822,3734.902,3953.451,3420.688,3305.73,3486.989,3441.784,2432.687,2167.421,2040.665,2050.514,2077.389,1880.014,1903.982,2026.309,2012.947,1996.475,2016.872,2151.659,2285.567,2417.584,2546.577
Zambia,1406.282,1589.128,1587.226,1580.895,1561.783,1583.161,1594.615,1610.253,1768.234,1717.69,1717.662,1711.513,1734.725,1724.459,1481.755,1519.026,1602.814,1649.802,1619.483,1674.325,1730.442,1808.479,1861.562,1968.396,2095.777,2242.368,2409.482,2588.384,2743.595,2909.748,3136.767,3267.408,3357.738,3506.39,3463.41,3352.526,3322.58,3395.477,3504.438,3507.524,3354.979,3623.174,3970.827,4178.528,4361.293,4530.662,4710.649,4906.725,5115.275,5333.272
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2440.834,2454.559,2410.334,2459.732,2311.654,1973.423,1884.845,1784.624,1747.648,1729.633,1465.451,1569.301,1884.072,2174.895,2385.894,2545.906,2576.737,2643.158,2668.326,2383.019,2523.374,2361.385,2165.154,2407.172,2687.46,2870.35,2975.281,3067.586,3166.133,3265.061,3365.02,3466.939
Africa (Region),1880.404,1993.314,2115.584,2166.613,2245.964,2314.557,2333.319,2346.828,2446.929,2555.012,2482.204,2546.481,2526.884,2531.613,2580.027,2632.602,2745.195,2803.214,2869.334,2926.112,3026.944,3152.577,3270.21,3425.094,3629.699,3863.411,4099.776,4348.028,4536.136,4572.576,4770.51,4838.314,4991.862,5076.569,5164.915,5187.495,5180.099,5179.886,5343.178,5452.122,5274.773,5642.752,6129.014,6389.885,6611.974,6834.954,7073.653,7330.394,7601.808,7888.114
Asia and Pacific,1193.872,1350.213,1465.177,1576.682,1705.139,1829.884,1929.809,2066.036,2262.396,2434.222,2618.661,2789.98,2980.313,3151.821,3338.761,3569.981,3811.068,3997.296,3986.771,4166.719,4442.039,4646.86,4869.988,5201.49,5642.105,6155.104,6740.808,7401.899,7817.949,8080.969,8741.401,9361.286,10005.091,10522.358,10896.392,11227.68,11619.58,12154.723,12966.455,13607.413,13561.038,15071.671,16675.453,18109.728,19237.057,20276.532,21374.64,22526.359,23729.206,25000.574
Australia and New Zealand,10256.67,11507.044,12096.139,12366.482,13473.276,14370.626,14797.59,15620.124,16498.975,17588.026,18239.144,18392.453,19052.531,20111.523,21335.223,22195.853,23225.072,24400.04,25429.222,26650.962,27837.616,28869.612,30189.452,31371.608,33184.934,34812.695,36297.917,38204.533,39019.315,39211.927,40075.65,41386.408,41285.756,44782.095,45416.352,44879.222,46629.628,48259.33,50013.41,51086.858,50366.993,55308.793,60270.907,62774.853,64511.251,66297.098,68314.304,70423.222,72621.394,74914.227
Caribbean,2845.361,3124.732,3281.911,3286.283,3356.352,3409.252,3544.056,3658.295,3738.536,3898.253,4140.659,4242.335,4373.076,4403.882,4386.132,4630.664,4839.621,5022.007,5155.402,5350.957,5568.346,5715.337,5892.187,6270.966,6558.842,6909.159,7479.518,7866.519,8056.007,7860.601,7855.36,8076.928,8165.793,8341.841,8421.256,8220.196,8216.432,8499.715,8745.388,8829.447,8193.737,8855.377,10380.112,11399.317,12484.626,13373.354,14454.231,15757.662,16877.915,18023.945
Central America,2476.82,2671.885,2717.302,2771.357,2876.699,2917.548,2981.028,3123.778,3183.594,3346.929,3454.267,3579.056,3858.955,4087.133,3998.163,4179.774,4322.779,4548.43,4752.955,4917.58,5121.23,5255.622,5414.227,5533.289,5795.917,6202.99,6731.215,7283.951,7619.588,7529.758,7886.861,8323.072,8610.506,9051.952,9680.324,10426.467,11127.629,11705.828,12268.417,12722.643,11792.639,13540.968,15076.976,16063.985,16857.201,17564.725,18358.095,19191.937,20067.199,20988.005
Central Asia and the Caucasus,3516.381,3926.679,4215.133,4486.429,4858.092,5116.687,5471.264,6051.661,6280.861,6427.75,7159.899,7345.458,5597.3,5737.761,5413.695,5649.019,6004.26,6425.379,6615.378,6556.053,7128.501,7110.037,6864.838,7374.149,8173.575,9111.967,10070.126,10936.728,11308.29,11032.36,11862.704,12988.685,13713.613,14753.371,15574.194,16003.919,16351.421,17215.718,17803.225,18171.712,18285.465,20522.451,22796.999,28589.633,29862.191,31103.501,32322.359,33701.017,35087.3,36557.948
East Asia,1330.122,1505.894,1649.898,1793.078,1971.683,2149.956,2285.007,2479.86,2741.363,2950.447,3171.678,3426.819,3654.715,3881.086,4158.251,4466.088,4779.987,5049.833,5166.918,5425.429,5839.276,6173.743,6549.595,7024.697,7651.585,8405.148,9302.728,10373.653,11090.917,11548.789,12643.894,13669.928,14644.877,15493.43,16071.949,16651.088,17109.872,17855.207,19138.659,20247.798,20674.823,23164.634,25448.113,27527.704,29300.659,30882.235,32509.407,34173.902,35880.223,37651.253
Eastern Europe ,4985.622,5251.382,5554.642,5979.815,6330.919,6599.09,6906.641,7217.837,7560.347,7839.672,7583.481,7031.02,8704.709,8284.455,7702.536,7929.548,7979.596,8157.844,8148.92,8649.011,9515.585,10219.515,10888.717,11835.572,13069.481,14296.741,15895.15,17622.321,18872.843,17811.797,18652.712,19804.018,20860.319,22160.335,22511.555,22065.736,22786.801,24536.1,26088.399,27369.085,26971.032,30088.688,32589.65,34931.731,37220.542,38848.665,40488.072,42183.191,44028.804,46003.693
Europe,9335.825,10150.304,10824.101,11445.635,12135.678,12807.942,13390.272,14086.874,15112.805,16173.445,17066.422,17709.837,15319.41,15274.476,15553.594,16043.031,16468.663,17037.68,17588.811,18454.3,19741.264,20739.662,21435.722,22324.226,23703.046,25091.36,26918.998,28728.708,29670.466,28331.575,29353.249,30557.075,31343.571,32684.878,33457.913,33905.136,35558.52,37662.946,39360.839,40755.862,38991.15,43403.52,47797.513,50124.376,52179.357,53950.306,55826.418,57724.35,59729.927,61806.247
Middle East (Region),12358.998,13157.493,12688.245,12321.615,11995.338,11683.886,11454.181,11243.821,11558.664,11906.049,12194.078,13564.47,14158.14,14634.278,14605.516,14926.925,15480.102,15865.832,16157.596,16071.045,17145.678,17314.732,17594.518,17098.928,18750.435,19744.915,20903.472,21918.176,22654.876,22359.663,23342.7,26718.222,26712.424,26308.424,25810.67,22119.369,21648.854,22770.679,23371.32,23522.808,22647.856,24437.308,27136.768,28045.031,28957.346,30269.097,31435.679,32596.256,33664.492,34806.156
North Africa,3744.008,3803.64,4139.631,4325.402,4500.846,4741.413,4715.689,4664.516,4844.927,5121.031,5402.92,5703.073,5702.713,5661.486,5856.411,5841.174,6146.379,6284.35,6603.148,6834.011,7153.717,7464.523,7677.553,8158.905,8627.338,9208.054,9786.686,10413.415,10899.67,11036.648,11482.798,11148.551,12264.392,12147.263,11857.582,12116.968,11870.308,11751.635,12300.83,12685.974,12309.689,13351.769,14702.223,15582.615,16241.007,16926.473,17647.054,18398.522,19230.737,20127.729
North America,11136.174,12446.103,12826.867,13590.175,14845.167,15730.84,16260.858,17020.874,18091.022,19232.676,20104.9,20523.765,21382.415,22181.318,23273.765,23867.336,24926.638,26224.119,27417.514,28747.094,30301.992,30928.962,31567.194,32671.249,34459.814,36336.593,38158.042,39533.923,39961.355,38601.311,39829.325,41035.231,42386.114,43628.988,45138.69,46259.237,47418.394,49083.605,51265.527,52887.469,51504.843,56716.933,61744.957,65081.916,67826.834,69810.085,72046.795,74427.719,76898.831,79478.319
Pacific Islands ,1305.778,1431.984,1488.321,1525.261,1601.008,1625.394,1717.526,1767.186,1837.337,1904.01,1915.277,2022.537,2156.917,2353.679,2549.528,2519.371,2646.14,2508.068,2566.243,2635.592,2580.345,2592.574,2601.341,2751.869,2829.034,2931.956,3033.732,3193.535,3208.464,3285.145,3425.385,3410.269,3466.589,3604.215,3989.456,4215.043,4362.661,4521.341,4576.817,4701.581,4365.785,3523.339,3986.896,4215.33,4404.035,4549.74,4697.275,4835.356,4978.15,5124.585
South America,4570.402,4766.269,4926.793,4862.261,5148.14,5409.633,5797.559,6049.829,6203.352,6291.276,6344.19,6726.425,6951.884,7310.259,7695.474,8011.249,8184.702,8589.087,8655.57,8550.815,8902.526,9053.549,9075.82,9324.222,10134.025,10855.042,11683.888,12666.724,13408.936,13202.96,14072.206,14942.809,15240.048,15865.282,16006.468,15446.771,15178.069,15760.821,16068.396,16152.709,15135.968,16888.788,18682.381,19523.056,20113.389,20853.867,21632.017,22411.011,23193.181,23979.43
South Asia,625.29,708.714,765.06,829.016,873.088,929.61,972.486,1013.773,1111.591,1192.285,1274.124,1318.231,1391.949,1456.298,1547.22,1654.408,1771.604,1837.227,1921.223,2058.77,2151.119,2255.138,2330.713,2503.138,2719.601,2972.093,3245.59,3519.518,3659.529,3871.196,4153.35,4395.075,4744.122,4932.859,5112.412,5331.16,5662.572,5976.637,6426.601,6709.678,6431.018,7248.316,8189.164,8957.116,9644.649,10311.796,11050.351,11849.941,12710.906,13641.013
Southeast Asia,1442.641,1646.628,1781.586,1897.624,2014.837,2100.74,2203.269,2317.36,2547.494,2828.893,3101.19,3377.479,3619.282,3921.394,4238.073,4589.518,4922.668,5126.207,4353.304,4491.761,4801.325,4993.606,5253.781,5591.563,6029.877,6488.43,7000.27,7569.276,8006.983,8143.435,8734.312,9237.614,9929.229,10305.71,10631.047,10758.649,11191.453,11767.517,12545.19,13209.601,12798.667,13724.21,15350.696,16417.653,17440.511,18440.914,19535.54,20695.543,21933.817,23260.567
Sub-Saharan Africa (Region) ,1292.086,1421.458,1476.586,1486.285,1538.221,1553.56,1587.808,1625.24,1701.121,1761.5,1792.602,1807.804,1792.874,1810.588,1830.586,1900.81,1975.284,2022.257,2054.735,2080.381,2145.346,2240.004,2346.55,2442.236,2602.98,2776.034,2953.775,3139.634,3279.875,3307.317,3468.226,3627.741,3607,3740.15,3908.864,3895.56,3942.66,3960.209,4063.369,4139.901,4009.596,4272.375,4623.11,4790.23,4952.229,5112.13,5286.437,5479.052,5676.49,5881.591
Western Europe,10291.041,11229.023,11989.344,12662.347,13433.533,14200.64,14847.957,15633.992,16811.243,18041.956,19187.51,20083.374,20698.742,21052.46,22006.902,22969.995,23760.273,24850.928,25851.47,26930.41,28520.47,29693.329,30315.047,31067.363,32483.67,33913.638,35849.586,37650.211,38267.759,36657.783,37771.653,38965.56,39506.269,40850.984,41915.791,43008.826,45328.502,47658.385,49414.767,50841.917,47998.628,53311.6,58855.212,60999.751,62725.173,64569.277,66579.637,68587,70652.87,72740.934
Western Hemisphere (Region),7989.85,8767.838,9023.708,9388.44,10156.101,10718.157,11141.581,11632.424,12239.762,12862.423,13336.283,13726.065,14268.961,14830.28,15470.856,15905.194,16493.25,17325.067,17957.129,18593.4,19536.471,19909.074,20238.805,20901.163,22150.489,23417.866,24717.084,25858.092,26401.442,25607.044,26591.404,27588.922,28405.466,29315.042,30164.59,30521.632,31023.856,32133.965,33398.251,34264.095,33063.666,36493.209,39871.145,41973.387,43661.433,45006.936,46501.034,48071.265,49683.45,51351.312
ASEAN-5,1643.337,1875.699,2023.443,2151.197,2277.379,2327.845,2447.698,2626.258,2898.017,3227.191,3564.147,3890.46,4166.93,4521.212,4887.91,5291.779,5669.249,5891.889,5334.987,5491.404,5873.19,6072.303,6366.838,6747.054,7244.028,7753.951,8328.131,8976.419,9473.383,9587.136,10292.955,10830.114,11585.812,11965.468,12253.058,12343.696,12788.485,13375.892,14211.413,14915.325,14297.949,15441.718,17270.582,18450.332,19565.23,20643.166,21821.185,23063.613,24386.651,25802.335
Advanced economies,10221.877,11308.792,11951.083,12736.288,13752.35,14628.938,15323.817,16202.377,17457.918,18728.885,19849.272,20649.604,21283.771,21798.157,22852.534,23684.7,24694.982,25839.234,26690.884,27866.411,29485.469,30435.919,31212.376,32275.032,34023.094,35848.514,37831.874,39652.185,40267.52,38910.124,40403.069,41714.923,42783.709,44354.233,45600.347,46886.475,48413.534,50426.751,52540.144,54163.244,52434.822,57909.855,63336.347,66358.853,68850.932,71055.105,73432.031,75874.832,78399.932,80993.133
Emerging and Developing Asia,578.051,657.56,719.036,784.603,855.148,925.968,983.42,1056.173,1172.786,1270.831,1371.07,1475.115,1611.991,1766.766,1939.061,2121.639,2304.788,2448.957,2470.029,2633.047,2827.14,3022.357,3228.181,3519.847,3872.435,4299.518,4809.158,5404.169,5833.326,6240.909,6828.94,7416.168,8064.606,8509.225,8871.531,9148.086,9566.364,10079.54,10883.327,11555.042,11554.658,12920.459,14362.866,15639.468,16756.57,17784.486,18873.084,20014.511,21211.88,22484.526
Emerging and Developing Europe,4455.495,4768.453,5061.186,5424.674,5777.794,6036.779,6356.886,6766.95,7060.572,7282.658,7415.032,7157.367,8576.46,8332.993,7723.042,7826.137,7920.951,8161.886,8170.783,8547.308,9386.288,9856.553,10514.194,11399.332,12631.896,13846.298,15336.34,16879.777,17941.922,16958.727,17881.119,19215.283,20291.816,21673.654,22246.202,22158.629,22842.461,24546.038,25966.213,27009.85,26938.543,30303.868,33126.168,35640.518,37885.303,39507.94,41170.423,42914.681,44803.899,46823.427
Emerging market and developing economies,1611.509,1759.469,1843.723,1898.252,2000.091,2091.072,2167.836,2253.886,2384.945,2503.821,2622.642,2774.091,3247.937,3363.313,3459.993,3603.307,3786.024,3964.756,3998.483,4130.517,4399.221,4593.019,4782.386,5118.529,5582.061,6066.805,6642.96,7268.893,7712.889,7838.994,8386.94,8959.05,9449.923,9841.4,10106.6,10087.172,10341.27,10810.052,11427.699,11890.572,11676.056,12924.41,14246.668,15310.587,16165.658,16960.714,17791.38,18657.675,19553.3,20497.984
European Union,9220.969,10016.679,10665.673,11243.454,11918.935,12542.401,13107.008,13748.646,14734.932,15795.164,16704.8,17403.939,17688.386,17777.314,18611.857,19285.489,20014.996,20862.699,21701.733,22609.14,23986.219,25044.326,25698.673,26412.73,27782.196,29140.701,31043.098,32838.886,33674.885,32358.195,33381.816,34654.693,35124.56,36271.351,37322.31,38495.968,40826.977,43170.749,45086.207,46644.046,44522.333,49445.239,54750.728,56964.467,58838.098,60835.168,62976.594,65127.312,67352.303,69644.897
